The operator was: HannesStefanSimon
The sample measure was: Cable
The sample was biased using: 10E-3 Amps
Comments:
0.42T

Tbefore	I+	V+	I-	V-	Tafter	Tbase	time
8.037900E+1	9.998120E-3	1.933570E-5	-1.000210E-2	5.333420E-5	8.037900E+1	8.228500E+1	8.729000E+0
8.037500E+1	9.998030E-3	1.935960E-5	-1.000210E-2	5.161760E-5	8.037100E+1	8.228600E+1	9.562000E+0
8.036700E+1	9.998110E-3	2.076630E-5	-1.000220E-2	5.307200E-5	8.036600E+1	8.228500E+1	1.056200E+1
8.035800E+1	9.998100E-3	1.821520E-5	-1.000220E-2	4.856590E-5	8.035900E+1	8.229100E+1	1.156100E+1
8.035300E+1	9.998060E-3	2.083780E-5	-1.000220E-2	5.588530E-5	8.035200E+1	8.228900E+1	1.256100E+1
8.034200E+1	9.998020E-3	1.678470E-5	-1.000220E-2	5.140300E-5	8.034200E+1	8.229200E+1	1.356100E+1
8.033500E+1	9.998070E-3	1.928810E-5	-1.000220E-2	5.443100E-5	8.033300E+1	8.229200E+1	1.456200E+1
8.033100E+1	9.998040E-3	1.955030E-5	-1.000220E-2	5.338190E-5	8.032900E+1	8.229600E+1	1.560300E+1
8.031800E+1	9.998130E-3	1.819130E-5	-1.000220E-2	5.326270E-5	8.031800E+1	8.229600E+1	1.656100E+1
8.031400E+1	9.998090E-3	1.807210E-5	-1.000220E-2	5.054470E-5	8.031500E+1	8.229300E+1	1.756100E+1
8.031300E+1	9.998050E-3	2.026560E-5	-1.000210E-2	5.118850E-5	8.031200E+1	8.229500E+1	1.856100E+1
8.030300E+1	9.998130E-3	1.635550E-5	-1.000220E-2	5.118850E-5	8.030300E+1	8.229400E+1	1.956200E+1
8.029600E+1	9.998090E-3	1.699920E-5	-1.000220E-2	5.133150E-5	8.029600E+1	8.230100E+1	2.056100E+1
8.029300E+1	9.998140E-3	1.814370E-5	-1.000210E-2	5.216600E-5	8.029200E+1	8.230300E+1	2.156200E+1
8.028800E+1	9.998130E-3	1.978870E-5	-1.000210E-2	4.963870E-5	8.028800E+1	8.229900E+1	2.256100E+1
8.028400E+1	9.998140E-3	2.019410E-5	-1.000210E-2	5.013940E-5	8.028200E+1	8.230400E+1	2.356000E+1
8.028000E+1	9.998140E-3	1.916890E-5	-1.000220E-2	5.238060E-5	8.028100E+1	8.230500E+1	2.456200E+1
8.027300E+1	9.998110E-3	1.835820E-5	-1.000220E-2	5.328660E-5	8.027300E+1	8.230100E+1	2.556100E+1
8.027400E+1	9.998070E-3	1.862050E-5	-1.000220E-2	5.254750E-5	8.027700E+1	8.230800E+1	2.656100E+1
8.027000E+1	9.998070E-3	1.785760E-5	-1.000210E-2	5.035400E-5	8.027300E+1	8.230700E+1	2.756100E+1
8.026400E+1	9.998110E-3	1.721380E-5	-1.000220E-2	5.226140E-5	8.026500E+1	8.230900E+1	2.856200E+1
8.026400E+1	9.998160E-3	1.702310E-5	-1.000210E-2	5.118850E-5	8.026000E+1	8.231000E+1	2.956100E+1
8.025700E+1	9.998120E-3	1.657010E-5	-1.000210E-2	5.016330E-5	8.025800E+1	8.231000E+1	3.061500E+1
8.025600E+1	9.998130E-3	1.606940E-5	-1.000210E-2	4.801750E-5	8.025600E+1	8.231000E+1	3.156100E+1
8.025300E+1	9.998250E-3	1.499650E-5	-1.000210E-2	4.775520E-5	8.025500E+1	8.231200E+1	3.256000E+1
8.025100E+1	9.998230E-3	1.993180E-5	-1.000210E-2	5.230900E-5	8.025000E+1	8.231500E+1	3.356100E+1
8.025000E+1	9.998230E-3	1.525880E-5	-1.000210E-2	5.013940E-5	8.024900E+1	8.231500E+1	3.456200E+1
8.025100E+1	9.998230E-3	1.561640E-5	-1.000210E-2	5.114080E-5	8.025000E+1	8.231600E+1	3.556000E+1
8.024600E+1	9.998290E-3	2.014640E-5	-1.000200E-2	4.882810E-5	8.024500E+1	8.232100E+1	3.656200E+1
8.024300E+1	9.998200E-3	2.019410E-5	-1.000210E-2	5.280970E-5	8.024500E+1	8.232300E+1	3.756000E+1
8.024200E+1	9.998170E-3	1.711850E-5	-1.000210E-2	4.968640E-5	8.024200E+1	8.232200E+1	3.856100E+1
8.024300E+1	9.998170E-3	1.978870E-5	-1.000210E-2	5.252360E-5	8.024000E+1	8.232300E+1	3.956100E+1
8.024000E+1	9.998120E-3	1.573560E-5	-1.000200E-2	5.121230E-5	8.024100E+1	8.232300E+1	4.056200E+1
8.024000E+1	9.998220E-3	1.974110E-5	-1.000210E-2	5.428790E-5	8.023900E+1	8.232400E+1	4.156100E+1
8.024100E+1	9.998150E-3	1.785760E-5	-1.000210E-2	5.187990E-5	8.024000E+1	8.232700E+1	4.256100E+1
8.023900E+1	9.998170E-3	1.714230E-5	-1.000210E-2	4.999640E-5	8.023700E+1	8.232600E+1	4.356200E+1
8.023400E+1	9.998200E-3	1.664160E-5	-1.000220E-2	5.052090E-5	8.023700E+1	8.232800E+1	4.456000E+1
8.024000E+1	9.998160E-3	1.523490E-5	-1.000210E-2	5.037780E-5	8.023800E+1	8.233100E+1	4.556200E+1
8.023800E+1	9.998110E-3	1.804830E-5	-1.000220E-2	5.247590E-5	8.024000E+1	8.233000E+1	4.660300E+1
8.024200E+1	9.998080E-3	1.711850E-5	-1.000210E-2	5.276200E-5	8.024300E+1	8.233400E+1	4.756000E+1
8.023800E+1	9.998020E-3	1.983640E-5	-1.000220E-2	5.271430E-5	8.024100E+1	8.233300E+1	4.856100E+1
8.024000E+1	9.998130E-3	2.117160E-5	-1.000210E-2	5.052090E-5	8.024100E+1	8.233400E+1	4.956200E+1
8.024100E+1	9.998170E-3	1.790520E-5	-1.000210E-2	5.218980E-5	8.024200E+1	8.233900E+1	5.056100E+1
8.024200E+1	9.998240E-3	2.067090E-5	-1.000200E-2	5.238060E-5	8.024300E+1	8.233900E+1	5.156200E+1
8.024200E+1	9.998160E-3	1.790520E-5	-1.000200E-2	5.214210E-5	8.024100E+1	8.233800E+1	5.256100E+1
8.024300E+1	9.998150E-3	2.095700E-5	-1.000210E-2	5.443100E-5	8.024600E+1	8.233800E+1	5.356100E+1
8.024400E+1	9.998040E-3	1.788140E-5	-1.000210E-2	5.230900E-5	8.024400E+1	8.233900E+1	5.456100E+1
8.024400E+1	9.997970E-3	1.778600E-5	-1.000210E-2	5.033020E-5	8.024300E+1	8.234100E+1	5.556200E+1
8.024300E+1	9.998080E-3	1.723770E-5	-1.000220E-2	5.335810E-5	8.024400E+1	8.234400E+1	5.656100E+1
8.024500E+1	9.998080E-3	1.764300E-5	-1.000210E-2	5.223750E-5	8.024600E+1	8.234500E+1	5.756200E+1
